Obs,date,hospital_7day_avg,hospital_n,icu_7day_avg,icu_n,dead_7day_avg,dead_n,infected_eldercare_7day_avg,infected_eldercare_n,Smittade 70+ hemtjänst - rullande medelvärde,Smittade 70+ hemtjänst - antal
20,2020-03-11,19.571,14,1.7143,,0.571,0,0.857,,,
21,2020-03-12,23.857,27,2.5714,0,0.857,0,1.429,0,,
22,2020-03-13,29.571,29,3.4286,,1.143,,3.143,,5,6
23,2020-03-14,35.714,29,3.4286,6,1.429,,5,,6.286,4
24,2020-03-15,46.714,40,5.2857,6,2.286,,7.857,4,8.857,8
25,2020-03-16,57.571,53,7.1429,6,3.429,,9.571,12,10.714,11
26,2020-03-17,69.429,58,9.7143,,4.429,,12.571,13,12,11
27,2020-03-18,80.143,91,11.5714,15,5.429,6,13,22,12.714,20
28,2020-03-19,89,103,15.1429,13,7.143,8,14,12,13.286,15
29,2020-03-20,105.714,112,20.2857,20,8.714,9,17,23,15.429,15
30,2020-03-21,123.857,104,25.4286,19,11.571,9,21.571,5,19.571,9
31,2020-03-22,136.714,102,29.4286,31,14,14,25.571,11,20.857,12
32,2020-03-23,152.714,170,33.5714,42,17.286,13,31,33,24.429,26
33,2020-03-24,171.286,185,36.1429,38,21,22,34.714,45,29.857,40
34,2020-03-25,188.143,181,37.8571,43,25.143,23,37.857,50,33.286,29
35,2020-03-26,204.714,215,40.5714,42,29.429,31,41.429,50,37.286,40
36,2020-03-27,220.571,242,39.7143,38,34.286,35,47.571,49,40.571,53
37,2020-03-28,239.143,222,40.1429,31,38.714,38,53.143,27,42.286,33
38,2020-03-29,255.714,218,42.2857,50,44,44,57.143,36,44,40
39,2020-03-30,275.286,281,43.5714,36,50.714,47,63.571,76,49.857,49
40,2020-03-31,281.143,315,45.4286,41,58,53,66.143,84,49.429,52
41,2020-04-01,283.857,297,47.8571,58,63.857,60,71.286,78,49.857,41
42,2020-04-02,282.286,352,48,51,71.857,78,71.714,95,48.857,81
43,2020-04-03,288.143,283,50.8571,51,80,86,79.571,67,52.286,50
44,2020-04-04,292.429,241,52.5714,48,87,79,88,63,55.571,36
45,2020-04-05,294.286,207,52.5714,51,96.143,100,89.714,39,57.571,33
46,2020-04-06,291.286,322,52.2857,56,99,104,92.857,131,55.143,73
47,2020-04-07,289.571,345,50.7143,53,102.429,102,95.571,143,54.571,75
48,2020-04-08,288,310,51.5714,58,107.143,124,92.286,90,54.857,55
49,2020-04-09,299.429,331,50.1429,49,109.286,98,99.143,117,57,64
50,2020-04-10,288.571,271,50.1429,40,109,110,92.857,86,54.286,46
51,2020-04-11,284.429,230,50,54,110.143,112,89.143,40,53.571,38
52,2020-04-12,284.286,287,47.5714,41,110.571,115,93.571,87,54.857,48
53,2020-04-13,284,246,47.7143,56,114.429,102,94,87,57.571,54
54,2020-04-14,286.714,316,49,52,113.286,110,99.143,117,60.143,70
55,2020-04-15,289.571,309,47,41,111.571,127,104.714,121,60.857,64
56,2020-04-16,280.857,329,47.1429,50,109.429,125,98.714,120,57.857,83
57,2020-04-17,286.571,290,44.1429,49,109,102,100.714,122,60.286,64
58,2020-04-18,281.571,250,43.2857,40,104.143,100,96.429,79,60.429,43
59,2020-04-19,275.571,226,45.4286,42,98.429,100,96,45,61,27
60,2020-04-20,268.571,286,44.2857,35,94.143,99,97.571,101,57.857,71
61,2020-04-21,263.143,281,45.7143,46,94.286,76,96.571,87,56.429,71
62,2020-04-22,258.429,267,44.8571,56,91.857,87,91.286,118,55.571,68
63,2020-04-23,254.286,280,43.2857,42,89.714,95,90.571,131,58.286,61
64,2020-04-24,245.286,252,43,59,87.286,103,92.286,115,58.429,54
65,2020-04-25,241.714,217,41.8571,34,90,83,94.429,42,55.571,37
66,2020-04-26,238.571,197,38.2857,31,89.857,85,89.857,40,55.571,46
67,2020-04-27,230.857,223,39,33,88.714,82,85.857,113,54,72
68,2020-04-28,224.714,256,34.5714,38,85.714,95,74.857,102,51.571,51
69,2020-04-29,221.143,245,35.4286,31,86,86,72.714,86,51.857,68
70,2020-04-30,220.429,226,36,47,85.286,87,73,103,51,50
71,2020-05-01,221.714,209,35.8571,28,87,82,71.714,38,49.143,37
72,2020-05-02,213.857,192,34.1429,40,84.571,85,70.429,27,50.857,39
73,2020-05-03,211.714,192,35.4286,35,83.714,80,69.714,42,51,40
74,2020-05-04,207.571,232,34,32,82.857,94,67.429,104,52.429,59
75,2020-05-05,203.286,201,35,26,80.857,78,74.571,93,54,63
76,2020-05-06,197.143,230,32.7143,40,79.429,80,75.857,81,53.571,69
77,2020-05-07,188.714,197,31.1429,37,79.286,81,72.571,87,52.429,60
78,2020-05-08,182.286,179,30.5714,35,75.429,68,71.857,88,51.429,48
79,2020-05-09,176.143,149,30.4286,24,73.857,75,68.714,36,48.286,36
80,2020-05-10,171.286,133,28.4286,24,70,79,65.286,19,44.286,32
81,2020-05-11,167.286,187,26.4286,28,65.571,67,60.714,99,42.286,52
82,2020-05-12,167.429,158,25,25,65.286,67,56,71,41.143,41
83,2020-05-13,164.286,196,24.5714,26,61.857,53,54.429,57,39.571,41
84,2020-05-14,164.571,169,24.7143,23,59.429,50,55.429,55,37.714,46
85,2020-05-15,161.571,180,24.5714,25,58.714,66,50,55,37.857,40
86,2020-05-16,164.714,127,23.7143,21,56,51,48.143,25,39.286,25
87,2020-05-17,161,135,22.5714,25,56.143,62,51.857,26,41.286,19
88,2020-05-18,160.143,166,21.7143,27,56.571,62,46.571,61,38.571,53
89,2020-05-19,160,180,21.4286,19,55.857,48,50.714,58,41.143,51
90,2020-05-20,161,170,20.8571,18,56.571,54,50.429,83,40.429,55
91,2020-05-21,160.429,163,20.1429,17,54.714,53,49,18,41.286,27
92,2020-05-22,163,179,21,23,52.143,61,49.714,84,41.286,58
93,2020-05-23,162,134,21.4286,17,49.571,56,48.714,23,39.857,20
94,2020-05-24,163.857,131,21.5714,20,48.143,49,44.143,16,38.143,25
95,2020-05-25,165.429,184,21.8571,33,46.857,44,49.571,66,39.571,53
96,2020-05-26,164.714,173,21.2857,22,44.143,30,44.714,51,37.857,41
97,2020-05-27,165.143,183,22.5714,19,42.286,44,44.571,51,38.143,43
98,2020-05-28,165.714,174,22.1429,19,42.143,44,45.143,56,36.429,37
99,2020-05-29,160.857,174,21.1429,19,42,42,45.429,50,35.143,46
100,2020-05-30,159,137,21,26,44.286,43,44.714,22,35.571,22
101,2020-05-31,153.857,135,21.7143,17,42.286,48,46.143,20,34.571,13
102,2020-06-01,154.714,150,22,26,42.714,43,44.143,68,36.143,44
103,2020-06-02,151.143,160,23.2857,21,42.571,46,43.286,46,36,44
104,2020-06-03,149,147,23.1429,24,41.714,30,41.714,61,35,36
105,2020-06-04,146.429,180,23.1429,21,40,47,40.571,42,35.857,48
106,2020-06-05,148.714,149,22.7143,28,39.429,41,41.714,44,34.857,45
107,2020-06-06,146.429,122,22.7143,25,37.857,37,41.286,11,32.857,15
108,2020-06-07,143,117,21,17,39.714,36,38.143,12,32.857,19
109,2020-06-08,134.143,166,20.2857,23,38.714,39,42,76,30.714,37
110,2020-06-09,132.857,144,18.5714,21,37,35,40.286,43,28.714,30
111,2020-06-10,129.714,123,18,12,36.429,43,40,39,27.571,36
112,2020-06-11,126.857,118,17.8571,16,36.143,40,39.429,69,26.714,33
113,2020-06-12,119.143,140,16.4286,16,35.286,29,33,32,26.571,31
114,2020-06-13,116.286,100,15.7143,21,34.857,33,32.429,9,26,7
115,2020-06-14,115,97,16.4286,16,34,34,30.429,8,26,13
116,2020-06-15,113.857,112,17.2857,13,32.857,33,27.429,31,25.714,36
117,2020-06-16,108.714,124,16.4286,16,33.143,32,24.429,39,23.571,26
118,2020-06-17,107.857,114,14.5714,17,32.857,37,24.714,25,23.857,36
119,2020-06-18,108.143,110,14.2857,22,31,32,24.429,48,23.143,31
120,2020-06-19,106.429,104,15.4286,10,29.714,31,28.286,11,22.143,16
121,2020-06-20,101.571,94,14.4286,8,28.714,31,26.571,11,21.857,9
122,2020-06-21,97.143,99,13.2857,14,27,21,27,6,19.143,8
123,2020-06-22,93.429,100,12,21,25.857,24,23,58,18,29
124,2020-06-23,90.286,90,11.5714,9,23.429,25,24.571,27,16.857,24
125,2020-06-24,85.857,83,11.2857,9,21.143,25,23.857,28,16.714,17
126,2020-06-25,83,84,10.5714,13,22,24,24.143,20,16.286,23
127,2020-06-26,78.429,82,8.2857,7,20.857,14,18.714,22,14.571,8
128,2020-06-27,75.143,63,8.2857,6,20.286,15,18.286,6,13.714,8
129,2020-06-28,72.857,79,8.1429,9,18.714,27,16.714,8,13,5
130,2020-06-29,69.286,68,7.8571,5,17.857,16,15.714,20,11,17
131,2020-06-30,64.429,67,7.7143,9,17.143,21,14,24,11.143,18
132,2020-07-01,60.143,67,7.1429,8,17.714,14,13.857,17,10.286,12
133,2020-07-02,54.286,59,6.7143,11,15.143,18,13.429,13,10.143,9
