path,index,name,family,style,weight,width,italic,monospace
/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf,21964,DejaVuSerif,DejaVu Serif,Book,normal,normal,FALSE,TRUE
/usr/share/fonts/truetype/liberation/LiberationSerif-Regular.ttf,21964,LiberationSerif,Liberation Serif,Regular,normal,normal,FALSE,TRUE
/usr/share/fonts/type1/gsfonts/c059013l.pfb,21964,CenturySchL-Roma,Century Schoolbook L,Roman,medium,normal,FALSE,TRUE
/usr/share/fonts/type1/gsfonts/p052023l.pfb,21964,URWPalladioL-Ital,URW Palladio L,Italic,normal,normal,TRUE,TRUE
/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Regular.ttf,21964,LiberationSansNarrow,Liberation Sans Narrow,Regular,normal,condensed,FALSE,TRUE
/usr/share/fonts/truetype/lato/Lato-Regular.ttf,21964,Lato-Regular,Lato,Regular,normal,normal,FALSE,TRUE
/usr/share/fonts/truetype/lato/Lato-HairlineItalic.ttf,21964,Lato-HairlineItalic,Lato,Hairline Italic,thin,normal,TRUE,TRUE
/usr/share/fonts/truetype/lato/Lato-LightItalic.ttf,21964,Lato-LightItalic,Lato,Light Italic,light,normal,TRUE,TRUE
/usr/share/fonts/type1/gsfonts/b018015l.pfb,21964,URWBookmanL-DemiBold,URW Bookman L,Demi Bold,bold,normal,FALSE,TRUE
/usr/share/fonts/type1/gsfonts/n022023l.pfb,21964,NimbusMonL-ReguObli,Nimbus Mono L,Regular Oblique,normal,normal,FALSE,TRUE
/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Italic.ttf,21964,LiberationSansNarrow-Italic,Liberation Sans Narrow,Italic,normal,condensed,TRUE,FALSE
/usr/share/fonts/type1/gsfonts/n019044l.pfb,21964,NimbusSanL-BoldCond,Nimbus Sans L,Bold Condensed,bold,condensed,FALSE,FALSE
/usr/share/fonts/truetype/lato/Lato-Italic.ttf,21964,Lato-Italic,Lato,Italic,normal,normal,TRUE,FALSE
/usr/share/fonts/truetype/lato/Lato-Light.ttf,21964,Lato-Light,Lato,Light,light,normal,FALSE,FALSE
/usr/share/fonts/truetype/lato/Lato-HeavyItalic.ttf,21964,Lato-HeavyItalic,Lato,Heavy Italic,ultrabold,normal,TRUE,FALSE
/usr/share/fonts/type1/gsfonts/p052003l.pfb,21964,URWPalladioL-Roma,URW Palladio L,Roman,medium,normal,FALSE,FALSE
/usr/share/fonts/type1/gsfonts/s050000l.pfb,21964,StandardSymL,Standard Symbols L,Regular,normal,normal,FALSE,FALSE
/usr/share/fonts/type1/gsfonts/c059036l.pfb,21964,CenturySchL-BoldItal,Century Schoolbook L,Bold Italic,bold,normal,TRUE,FALSE
/usr/share/fonts/truetype/lato/Lato-Heavy.ttf,21964,Lato-Heavy,Lato,Heavy,ultrabold,normal,FALSE,FALSE
/usr/share/fonts/type1/gsfonts/a010013l.pfb,21964,URWGothicL-Book,URW Gothic L,Book,normal,normal,FALSE,FALSE
/usr/share/fonts/truetype/liberation/LiberationMono-Regular.ttf,21964,LiberationMono,Liberation Mono,Regular,normal,normal,FALSE,TRUE
/usr/share/fonts/type1/gsfonts/b018035l.pfb,21964,URWBookmanL-DemiBoldItal,URW Bookman L,Demi Bold Italic,bold,normal,TRUE,TRUE
