date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2021-01-10",overview,K02000001,United Kingdom,134
"2021-01-09",overview,K02000001,United Kingdom,374
"2021-01-08",overview,K02000001,United Kingdom,541
"2021-01-07",overview,K02000001,United Kingdom,738
"2021-01-06",overview,K02000001,United Kingdom,787
"2021-01-05",overview,K02000001,United Kingdom,759
"2021-01-04",overview,K02000001,United Kingdom,762
"2021-01-03",overview,K02000001,United Kingdom,670
"2021-01-02",overview,K02000001,United Kingdom,659
"2021-01-01",overview,K02000001,United Kingdom,660
"2020-12-31",overview,K02000001,United Kingdom,690
"2020-12-30",overview,K02000001,United Kingdom,675
"2020-12-29",overview,K02000001,United Kingdom,643
"2020-12-28",overview,K02000001,United Kingdom,647
"2020-12-27",overview,K02000001,United Kingdom,615
"2020-12-26",overview,K02000001,United Kingdom,636
"2020-12-25",overview,K02000001,United Kingdom,590
"2020-12-24",overview,K02000001,United Kingdom,559
"2020-12-23",overview,K02000001,United Kingdom,555
"2020-12-22",overview,K02000001,United Kingdom,548
"2020-12-21",overview,K02000001,United Kingdom,556
"2020-12-20",overview,K02000001,United Kingdom,502
"2020-12-19",overview,K02000001,United Kingdom,481
"2020-12-18",overview,K02000001,United Kingdom,507
"2020-12-17",overview,K02000001,United Kingdom,525
"2020-12-16",overview,K02000001,United Kingdom,437
"2020-12-15",overview,K02000001,United Kingdom,452
"2020-12-14",overview,K02000001,United Kingdom,475
"2020-12-13",overview,K02000001,United Kingdom,412
"2020-12-12",overview,K02000001,United Kingdom,438
"2020-12-11",overview,K02000001,United Kingdom,452
"2020-12-10",overview,K02000001,United Kingdom,443
"2020-12-09",overview,K02000001,United Kingdom,426
"2020-12-08",overview,K02000001,United Kingdom,434
"2020-12-07",overview,K02000001,United Kingdom,418
"2020-12-06",overview,K02000001,United Kingdom,414
"2020-12-05",overview,K02000001,United Kingdom,392
"2020-12-04",overview,K02000001,United Kingdom,470
"2020-12-03",overview,K02000001,United Kingdom,470
"2020-12-02",overview,K02000001,United Kingdom,386
"2020-12-01",overview,K02000001,United Kingdom,402
"2020-11-30",overview,K02000001,United Kingdom,421
"2020-11-29",overview,K02000001,United Kingdom,461
"2020-11-28",overview,K02000001,United Kingdom,461
"2020-11-27",overview,K02000001,United Kingdom,421
"2020-11-26",overview,K02000001,United Kingdom,431
"2020-11-25",overview,K02000001,United Kingdom,482
"2020-11-24",overview,K02000001,United Kingdom,456
"2020-11-23",overview,K02000001,United Kingdom,463
"2020-11-22",overview,K02000001,United Kingdom,477
"2020-11-21",overview,K02000001,United Kingdom,460
"2020-11-20",overview,K02000001,United Kingdom,451
"2020-11-19",overview,K02000001,United Kingdom,461
"2020-11-18",overview,K02000001,United Kingdom,487
"2020-11-17",overview,K02000001,United Kingdom,439
"2020-11-16",overview,K02000001,United Kingdom,423
"2020-11-15",overview,K02000001,United Kingdom,450
"2020-11-14",overview,K02000001,United Kingdom,428
"2020-11-13",overview,K02000001,United Kingdom,434
"2020-11-12",overview,K02000001,United Kingdom,418
"2020-11-11",overview,K02000001,United Kingdom,387
"2020-11-10",overview,K02000001,United Kingdom,387
"2020-11-09",overview,K02000001,United Kingdom,480
"2020-11-08",overview,K02000001,United Kingdom,413
"2020-11-07",overview,K02000001,United Kingdom,390
"2020-11-06",overview,K02000001,United Kingdom,400
"2020-11-05",overview,K02000001,United Kingdom,375
"2020-11-04",overview,K02000001,United Kingdom,329
"2020-11-03",overview,K02000001,United Kingdom,359
"2020-11-02",overview,K02000001,United Kingdom,331
"2020-11-01",overview,K02000001,United Kingdom,356
"2020-10-31",overview,K02000001,United Kingdom,320
"2020-10-30",overview,K02000001,United Kingdom,338
"2020-10-29",overview,K02000001,United Kingdom,310
"2020-10-28",overview,K02000001,United Kingdom,283
"2020-10-27",overview,K02000001,United Kingdom,266
"2020-10-26",overview,K02000001,United Kingdom,277
"2020-10-25",overview,K02000001,United Kingdom,247
"2020-10-24",overview,K02000001,United Kingdom,213
"2020-10-23",overview,K02000001,United Kingdom,222
"2020-10-22",overview,K02000001,United Kingdom,234
"2020-10-21",overview,K02000001,United Kingdom,222
"2020-10-20",overview,K02000001,United Kingdom,194
"2020-10-19",overview,K02000001,United Kingdom,191
"2020-10-18",overview,K02000001,United Kingdom,159
"2020-10-17",overview,K02000001,United Kingdom,176
"2020-10-16",overview,K02000001,United Kingdom,147
"2020-10-15",overview,K02000001,United Kingdom,151
"2020-10-14",overview,K02000001,United Kingdom,115
"2020-10-13",overview,K02000001,United Kingdom,110
"2020-10-12",overview,K02000001,United Kingdom,112
"2020-10-11",overview,K02000001,United Kingdom,122
"2020-10-10",overview,K02000001,United Kingdom,103
"2020-10-09",overview,K02000001,United Kingdom,79
"2020-10-08",overview,K02000001,United Kingdom,92
"2020-10-07",overview,K02000001,United Kingdom,102
"2020-10-06",overview,K02000001,United Kingdom,69
"2020-10-05",overview,K02000001,United Kingdom,70
"2020-10-04",overview,K02000001,United Kingdom,60
"2020-10-03",overview,K02000001,United Kingdom,66
"2020-10-02",overview,K02000001,United Kingdom,68
"2020-10-01",overview,K02000001,United Kingdom,66
"2020-09-30",overview,K02000001,United Kingdom,57
"2020-09-29",overview,K02000001,United Kingdom,48
"2020-09-28",overview,K02000001,United Kingdom,54
"2020-09-27",overview,K02000001,United Kingdom,47
"2020-09-26",overview,K02000001,United Kingdom,39
"2020-09-25",overview,K02000001,United Kingdom,32
"2020-09-24",overview,K02000001,United Kingdom,35
"2020-09-23",overview,K02000001,United Kingdom,56
"2020-09-22",overview,K02000001,United Kingdom,39
"2020-09-21",overview,K02000001,United Kingdom,27
"2020-09-20",overview,K02000001,United Kingdom,31
"2020-09-19",overview,K02000001,United Kingdom,20
"2020-09-18",overview,K02000001,United Kingdom,23
"2020-09-17",overview,K02000001,United Kingdom,27
"2020-09-16",overview,K02000001,United Kingdom,26
"2020-09-15",overview,K02000001,United Kingdom,18
"2020-09-14",overview,K02000001,United Kingdom,21
"2020-09-13",overview,K02000001,United Kingdom,16
"2020-09-12",overview,K02000001,United Kingdom,18
"2020-09-11",overview,K02000001,United Kingdom,13
"2020-09-10",overview,K02000001,United Kingdom,13
"2020-09-09",overview,K02000001,United Kingdom,9
"2020-09-08",overview,K02000001,United Kingdom,9
"2020-09-07",overview,K02000001,United Kingdom,15
"2020-09-06",overview,K02000001,United Kingdom,8
"2020-09-05",overview,K02000001,United Kingdom,13
"2020-09-04",overview,K02000001,United Kingdom,7
"2020-09-03",overview,K02000001,United Kingdom,10
"2020-09-02",overview,K02000001,United Kingdom,9
"2020-09-01",overview,K02000001,United Kingdom,3
"2020-08-31",overview,K02000001,United Kingdom,9
"2020-08-30",overview,K02000001,United Kingdom,6
"2020-08-29",overview,K02000001,United Kingdom,5
"2020-08-28",overview,K02000001,United Kingdom,10
"2020-08-27",overview,K02000001,United Kingdom,8
"2020-08-26",overview,K02000001,United Kingdom,11
"2020-08-25",overview,K02000001,United Kingdom,12
"2020-08-24",overview,K02000001,United Kingdom,6
"2020-08-23",overview,K02000001,United Kingdom,14
"2020-08-22",overview,K02000001,United Kingdom,8
"2020-08-21",overview,K02000001,United Kingdom,7
"2020-08-20",overview,K02000001,United Kingdom,8
"2020-08-19",overview,K02000001,United Kingdom,3
"2020-08-18",overview,K02000001,United Kingdom,9
"2020-08-17",overview,K02000001,United Kingdom,12
"2020-08-16",overview,K02000001,United Kingdom,4
"2020-08-15",overview,K02000001,United Kingdom,12
"2020-08-14",overview,K02000001,United Kingdom,7
"2020-08-13",overview,K02000001,United Kingdom,9
"2020-08-12",overview,K02000001,United Kingdom,7
"2020-08-11",overview,K02000001,United Kingdom,10
"2020-08-10",overview,K02000001,United Kingdom,13
"2020-08-09",overview,K02000001,United Kingdom,8
"2020-08-08",overview,K02000001,United Kingdom,14
"2020-08-07",overview,K02000001,United Kingdom,12
"2020-08-06",overview,K02000001,United Kingdom,9
"2020-08-05",overview,K02000001,United Kingdom,6
"2020-08-04",overview,K02000001,United Kingdom,14
"2020-08-03",overview,K02000001,United Kingdom,15
"2020-08-02",overview,K02000001,United Kingdom,10
"2020-08-01",overview,K02000001,United Kingdom,11
"2020-07-31",overview,K02000001,United Kingdom,14
"2020-07-30",overview,K02000001,United Kingdom,10
"2020-07-29",overview,K02000001,United Kingdom,12
"2020-07-28",overview,K02000001,United Kingdom,12
"2020-07-27",overview,K02000001,United Kingdom,11
"2020-07-26",overview,K02000001,United Kingdom,16
"2020-07-25",overview,K02000001,United Kingdom,15
"2020-07-24",overview,K02000001,United Kingdom,7
"2020-07-23",overview,K02000001,United Kingdom,16
"2020-07-22",overview,K02000001,United Kingdom,17
"2020-07-21",overview,K02000001,United Kingdom,20
"2020-07-20",overview,K02000001,United Kingdom,12
"2020-07-19",overview,K02000001,United Kingdom,14
"2020-07-18",overview,K02000001,United Kingdom,14
"2020-07-17",overview,K02000001,United Kingdom,18
"2020-07-16",overview,K02000001,United Kingdom,13
"2020-07-15",overview,K02000001,United Kingdom,20
"2020-07-14",overview,K02000001,United Kingdom,21
