date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-04-28",overview,K02000001,United Kingdom,560
"2020-04-27",overview,K02000001,United Kingdom,595
"2020-04-26",overview,K02000001,United Kingdom,630
"2020-04-25",overview,K02000001,United Kingdom,645
"2020-04-24",overview,K02000001,United Kingdom,681
"2020-04-23",overview,K02000001,United Kingdom,674
"2020-04-22",overview,K02000001,United Kingdom,727
"2020-04-21",overview,K02000001,United Kingdom,740
"2020-04-20",overview,K02000001,United Kingdom,781
"2020-04-19",overview,K02000001,United Kingdom,763
"2020-04-18",overview,K02000001,United Kingdom,797
"2020-04-17",overview,K02000001,United Kingdom,818
"2020-04-16",overview,K02000001,United Kingdom,838
"2020-04-15",overview,K02000001,United Kingdom,878
"2020-04-14",overview,K02000001,United Kingdom,859
"2020-04-13",overview,K02000001,United Kingdom,892
"2020-04-12",overview,K02000001,United Kingdom,956
"2020-04-11",overview,K02000001,United Kingdom,954
"2020-04-10",overview,K02000001,United Kingdom,940
"2020-04-09",overview,K02000001,United Kingdom,998
"2020-04-08",overview,K02000001,United Kingdom,1072
"2020-04-07",overview,K02000001,United Kingdom,998
"2020-04-06",overview,K02000001,United Kingdom,893
"2020-04-05",overview,K02000001,United Kingdom,915
"2020-04-04",overview,K02000001,United Kingdom,903
"2020-04-03",overview,K02000001,United Kingdom,840
"2020-04-02",overview,K02000001,United Kingdom,806
"2020-04-01",overview,K02000001,United Kingdom,766
"2020-03-31",overview,K02000001,United Kingdom,661
"2020-03-30",overview,K02000001,United Kingdom,584
"2020-03-29",overview,K02000001,United Kingdom,509
"2020-03-28",overview,K02000001,United Kingdom,437
"2020-03-27",overview,K02000001,United Kingdom,398
"2020-03-26",overview,K02000001,United Kingdom,359
"2020-03-25",overview,K02000001,United Kingdom,302
"2020-03-24",overview,K02000001,United Kingdom,237
"2020-03-23",overview,K02000001,United Kingdom,186
"2020-03-22",overview,K02000001,United Kingdom,166
"2020-03-21",overview,K02000001,United Kingdom,131
"2020-03-20",overview,K02000001,United Kingdom,109
"2020-03-19",overview,K02000001,United Kingdom,74
"2020-03-18",overview,K02000001,United Kingdom,68
"2020-03-17",overview,K02000001,United Kingdom,53
"2020-03-16",overview,K02000001,United Kingdom,46
"2020-03-15",overview,K02000001,United Kingdom,32
"2020-03-14",overview,K02000001,United Kingdom,22
"2020-03-13",overview,K02000001,United Kingdom,16
"2020-03-12",overview,K02000001,United Kingdom,13
"2020-03-11",overview,K02000001,United Kingdom,8
"2020-03-10",overview,K02000001,United Kingdom,3
"2020-03-09",overview,K02000001,United Kingdom,5
"2020-03-08",overview,K02000001,United Kingdom,3
"2020-03-07",overview,K02000001,United Kingdom,0
"2020-03-06",overview,K02000001,United Kingdom,0
"2020-03-05",overview,K02000001,United Kingdom,3
"2020-03-04",overview,K02000001,United Kingdom,0
"2020-03-03",overview,K02000001,United Kingdom,2
"2020-03-02",overview,K02000001,United Kingdom,1
"2020-03-01",overview,K02000001,United Kingdom,0
"2020-02-29",overview,K02000001,United Kingdom,0
