date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-10-17",overview,K02000001,United Kingdom,129
"2020-10-16",overview,K02000001,United Kingdom,108
"2020-10-15",overview,K02000001,United Kingdom,128
"2020-10-14",overview,K02000001,United Kingdom,107
"2020-10-13",overview,K02000001,United Kingdom,98
"2020-10-12",overview,K02000001,United Kingdom,108
"2020-10-11",overview,K02000001,United Kingdom,118
"2020-10-10",overview,K02000001,United Kingdom,115
"2020-10-09",overview,K02000001,United Kingdom,72
"2020-10-08",overview,K02000001,United Kingdom,88
"2020-10-07",overview,K02000001,United Kingdom,91
"2020-10-06",overview,K02000001,United Kingdom,75
"2020-10-05",overview,K02000001,United Kingdom,60
"2020-10-04",overview,K02000001,United Kingdom,57
"2020-10-03",overview,K02000001,United Kingdom,62
"2020-10-02",overview,K02000001,United Kingdom,70
"2020-10-01",overview,K02000001,United Kingdom,65
"2020-09-30",overview,K02000001,United Kingdom,52
"2020-09-29",overview,K02000001,United Kingdom,47
"2020-09-28",overview,K02000001,United Kingdom,51
"2020-09-27",overview,K02000001,United Kingdom,42
"2020-09-26",overview,K02000001,United Kingdom,41
"2020-09-25",overview,K02000001,United Kingdom,34
"2020-09-24",overview,K02000001,United Kingdom,35
"2020-09-23",overview,K02000001,United Kingdom,55
"2020-09-22",overview,K02000001,United Kingdom,36
"2020-09-21",overview,K02000001,United Kingdom,27
"2020-09-20",overview,K02000001,United Kingdom,32
"2020-09-19",overview,K02000001,United Kingdom,19
"2020-09-18",overview,K02000001,United Kingdom,24
"2020-09-17",overview,K02000001,United Kingdom,0
"2020-09-16",overview,K02000001,United Kingdom,0
"2020-09-15",overview,K02000001,United Kingdom,0
"2020-09-14",overview,K02000001,United Kingdom,21
"2020-09-13",overview,K02000001,United Kingdom,15
"2020-09-12",overview,K02000001,United Kingdom,18
"2020-09-11",overview,K02000001,United Kingdom,12
"2020-09-10",overview,K02000001,United Kingdom,13
"2020-09-09",overview,K02000001,United Kingdom,9
"2020-09-08",overview,K02000001,United Kingdom,9
"2020-09-07",overview,K02000001,United Kingdom,15
"2020-09-06",overview,K02000001,United Kingdom,8
"2020-09-05",overview,K02000001,United Kingdom,14
"2020-09-04",overview,K02000001,United Kingdom,7
"2020-09-03",overview,K02000001,United Kingdom,10
"2020-09-02",overview,K02000001,United Kingdom,9
"2020-09-01",overview,K02000001,United Kingdom,0
"2020-08-31",overview,K02000001,United Kingdom,0
"2020-08-30",overview,K02000001,United Kingdom,5
"2020-08-29",overview,K02000001,United Kingdom,5
"2020-08-28",overview,K02000001,United Kingdom,10
"2020-08-27",overview,K02000001,United Kingdom,8
"2020-08-26",overview,K02000001,United Kingdom,12
"2020-08-25",overview,K02000001,United Kingdom,12
"2020-08-24",overview,K02000001,United Kingdom,6
"2020-08-23",overview,K02000001,United Kingdom,16
"2020-08-22",overview,K02000001,United Kingdom,8
"2020-08-21",overview,K02000001,United Kingdom,7
"2020-08-20",overview,K02000001,United Kingdom,0
"2020-08-19",overview,K02000001,United Kingdom,0
"2020-08-18",overview,K02000001,United Kingdom,8
"2020-08-17",overview,K02000001,United Kingdom,12
"2020-08-16",overview,K02000001,United Kingdom,6
"2020-08-15",overview,K02000001,United Kingdom,13
"2020-08-14",overview,K02000001,United Kingdom,6
"2020-08-13",overview,K02000001,United Kingdom,8
"2020-08-12",overview,K02000001,United Kingdom,11
"2020-08-11",overview,K02000001,United Kingdom,12
"2020-08-10",overview,K02000001,United Kingdom,11
"2020-08-09",overview,K02000001,United Kingdom,0
"2020-08-08",overview,K02000001,United Kingdom,0
"2020-08-07",overview,K02000001,United Kingdom,14
"2020-08-06",overview,K02000001,United Kingdom,12
"2020-08-05",overview,K02000001,United Kingdom,5
"2020-08-04",overview,K02000001,United Kingdom,11
"2020-08-03",overview,K02000001,United Kingdom,14
"2020-08-02",overview,K02000001,United Kingdom,11
"2020-08-01",overview,K02000001,United Kingdom,11
"2020-07-31",overview,K02000001,United Kingdom,16
"2020-07-30",overview,K02000001,United Kingdom,8
"2020-07-29",overview,K02000001,United Kingdom,13
"2020-07-28",overview,K02000001,United Kingdom,10
"2020-07-27",overview,K02000001,United Kingdom,10
"2020-07-26",overview,K02000001,United Kingdom,15
"2020-07-25",overview,K02000001,United Kingdom,13
"2020-07-24",overview,K02000001,United Kingdom,6
"2020-07-23",overview,K02000001,United Kingdom,16
"2020-07-22",overview,K02000001,United Kingdom,17
"2020-07-21",overview,K02000001,United Kingdom,0
"2020-07-20",overview,K02000001,United Kingdom,0
"2020-07-19",overview,K02000001,United Kingdom,0
"2020-07-18",overview,K02000001,United Kingdom,0
"2020-07-17",overview,K02000001,United Kingdom,0
"2020-07-16",overview,K02000001,United Kingdom,14
"2020-07-15",overview,K02000001,United Kingdom,20
"2020-07-14",overview,K02000001,United Kingdom,0
"2020-07-13",overview,K02000001,United Kingdom,0
"2020-07-12",overview,K02000001,United Kingdom,0
"2020-07-11",overview,K02000001,United Kingdom,0
"2020-07-10",overview,K02000001,United Kingdom,0
"2020-07-09",overview,K02000001,United Kingdom,0
"2020-07-08",overview,K02000001,United Kingdom,0
"2020-07-07",overview,K02000001,United Kingdom,0
"2020-07-06",overview,K02000001,United Kingdom,0
"2020-07-05",overview,K02000001,United Kingdom,0
"2020-07-04",overview,K02000001,United Kingdom,0
"2020-07-03",overview,K02000001,United Kingdom,0
"2020-07-02",overview,K02000001,United Kingdom,0
"2020-07-01",overview,K02000001,United Kingdom,29
"2020-06-30",overview,K02000001,United Kingdom,0
"2020-06-29",overview,K02000001,United Kingdom,0
"2020-06-28",overview,K02000001,United Kingdom,0
"2020-06-27",overview,K02000001,United Kingdom,0
"2020-06-26",overview,K02000001,United Kingdom,40
"2020-06-25",overview,K02000001,United Kingdom,63
"2020-06-24",overview,K02000001,United Kingdom,77
"2020-06-23",overview,K02000001,United Kingdom,67
"2020-06-22",overview,K02000001,United Kingdom,63
"2020-06-21",overview,K02000001,United Kingdom,0
"2020-06-20",overview,K02000001,United Kingdom,0
"2020-06-19",overview,K02000001,United Kingdom,0
"2020-06-18",overview,K02000001,United Kingdom,0
