publication_date,date,variable,N
2021-02-08,2020-03-04,Number of cases,6
2021-02-08,2020-03-04,Number of tests,85
2021-02-08,2020-03-05,Number of cases,1
2021-02-08,2020-03-05,Number of tests,80
2021-02-08,2020-03-06,Number of cases,7
2021-02-08,2020-03-06,Number of tests,105
2021-02-08,2020-03-06,Number of deaths,1
2021-02-08,2020-03-07,Number of cases,7
2021-02-08,2020-03-07,Number of tests,20
2021-02-08,2020-03-07,Number of deaths,0
2021-02-08,2020-03-08,Number of cases,9
2021-02-08,2020-03-08,Number of tests,14
2021-02-08,2020-03-08,Number of deaths,0
2021-02-08,2020-03-09,Number of cases,17
2021-02-08,2020-03-09,Number of tests,122
2021-02-08,2020-03-09,Number of deaths,0
2021-02-08,2020-03-10,Number of cases,54
2021-02-08,2020-03-10,Number of tests,128
2021-02-08,2020-03-10,Number of deaths,0
2021-02-08,2020-03-11,Number of cases,76
2021-02-08,2020-03-11,Number of tests,163
2021-02-08,2020-03-11,Number of deaths,0
2021-02-08,2020-03-12,Number of cases,60
2021-02-08,2020-03-12,Number of tests,349
2021-02-08,2020-03-12,Number of deaths,0
2021-02-08,2020-03-13,Number of cases,28
2021-02-08,2020-03-13,Number of tests,409
2021-02-08,2020-03-13,Number of deaths,1
2021-02-08,2020-03-14,Number of cases,29
2021-02-08,2020-03-14,Number of tests,595
2021-02-08,2020-03-14,Number of deaths,2
2021-02-08,2020-03-15,Number of cases,53
2021-02-08,2020-03-15,Number of tests,644
2021-02-08,2020-03-15,Number of deaths,0
2021-02-08,2020-03-16,Number of cases,52
2021-02-08,2020-03-16,Number of tests,868
2021-02-08,2020-03-16,Number of deaths,1
2021-02-08,2020-03-17,Number of cases,47
2021-02-08,2020-03-17,Number of tests,1136
2021-02-08,2020-03-17,Number of deaths,2
2021-02-08,2020-03-18,Number of cases,90
2021-02-08,2020-03-18,Number of tests,1025
2021-02-08,2020-03-18,Number of deaths,0
2021-02-08,2020-03-19,Number of cases,100
2021-02-08,2020-03-19,Number of tests,775
2021-02-08,2020-03-19,Number of deaths,1
2021-02-08,2020-03-20,Number of cases,87
2021-02-08,2020-03-20,Number of tests,1286
2021-02-08,2020-03-20,Number of deaths,1
2021-02-08,2020-03-21,Number of cases,87
2021-02-08,2020-03-21,Number of tests,1603
2021-02-08,2020-03-21,Number of deaths,2
2021-02-08,2020-03-22,Number of cases,78
2021-02-08,2020-03-22,Number of tests,1048
2021-02-08,2020-03-22,Number of deaths,1
2021-02-08,2020-03-23,Number of cases,84
2021-02-08,2020-03-23,Number of tests,1316
2021-02-08,2020-03-23,Number of deaths,4
2021-02-08,2020-03-24,Number of cases,99
2021-02-08,2020-03-24,Number of tests,1582
2021-02-08,2020-03-24,Number of deaths,1
2021-02-08,2020-03-25,Number of cases,104
2021-02-08,2020-03-25,Number of tests,1848
2021-02-08,2020-03-25,Number of deaths,5
2021-02-08,2020-03-26,Number of cases,114
2021-02-08,2020-03-26,Number of tests,1837
2021-02-08,2020-03-26,Number of deaths,4
2021-02-08,2020-03-27,Number of cases,95
2021-02-08,2020-03-27,Number of tests,2004
2021-02-08,2020-03-27,Number of deaths,2
2021-02-08,2020-03-28,Number of cases,77
2021-02-08,2020-03-28,Number of tests,1205
2021-02-08,2020-03-28,Number of deaths,4
2021-02-08,2020-03-29,Number of cases,70
2021-02-08,2020-03-29,Number of tests,587
2021-02-08,2020-03-29,Number of deaths,10
2021-02-08,2020-03-30,Number of cases,129
2021-02-08,2020-03-30,Number of tests,1084
2021-02-08,2020-03-30,Number of deaths,10
2021-02-08,2020-03-31,Number of cases,125
2021-02-08,2020-03-31,Number of tests,1131
2021-02-08,2020-03-31,Number of deaths,7
2021-02-08,2020-04-01,Number of cases,149
2021-02-08,2020-04-01,Number of tests,1611
2021-02-08,2020-04-01,Number of deaths,4
2021-02-08,2020-04-02,Number of cases,161
2021-02-08,2020-04-02,Number of tests,2331
2021-02-08,2020-04-02,Number of deaths,7
2021-02-08,2020-04-03,Number of cases,199
2021-02-08,2020-04-03,Number of tests,1691
2021-02-08,2020-04-03,Number of deaths,10
2021-02-08,2020-04-04,Number of cases,81
2021-02-08,2020-04-04,Number of tests,3224
2021-02-08,2020-04-04,Number of deaths,7
2021-02-08,2020-04-05,Number of cases,122
2021-02-08,2020-04-05,Number of tests,1647
2021-02-08,2020-04-05,Number of deaths,4
2021-02-08,2020-04-06,Number of cases,209
2021-02-08,2020-04-06,Number of tests,1971
2021-02-08,2020-04-06,Number of deaths,10
2021-02-08,2020-04-07,Number of cases,200
2021-02-08,2020-04-07,Number of tests,2167
2021-02-08,2020-04-07,Number of deaths,18
2021-02-08,2020-04-08,Number of cases,138
2021-02-08,2020-04-08,Number of tests,3295
2021-02-08,2020-04-08,Number of deaths,8
2021-02-08,2020-04-09,Number of cases,158
2021-02-08,2020-04-09,Number of tests,2549
2021-02-08,2020-04-09,Number of deaths,11
2021-02-08,2020-04-10,Number of cases,71
2021-02-08,2020-04-10,Number of tests,3287
2021-02-08,2020-04-10,Number of deaths,3
2021-02-08,2020-04-11,Number of cases,75
2021-02-08,2020-04-11,Number of tests,1318
2021-02-08,2020-04-11,Number of deaths,3
2021-02-08,2020-04-12,Number of cases,80
2021-02-08,2020-04-12,Number of tests,1589
2021-02-08,2020-04-12,Number of deaths,11
2021-02-08,2020-04-13,Number of cases,117
2021-02-08,2020-04-13,Number of tests,920
2021-02-08,2020-04-13,Number of deaths,14
2021-02-08,2020-04-14,Number of cases,175
2021-02-08,2020-04-14,Number of tests,1225
2021-02-08,2020-04-14,Number of deaths,10
2021-02-08,2020-04-15,Number of cases,130
2021-02-08,2020-04-15,Number of tests,2492
2021-02-08,2020-04-15,Number of deaths,14
2021-02-08,2020-04-16,Number of cases,120
2021-02-08,2020-04-16,Number of tests,3507
2021-02-08,2020-04-16,Number of deaths,12
2021-02-08,2020-04-17,Number of cases,125
2021-02-08,2020-04-17,Number of tests,2710
2021-02-08,2020-04-17,Number of deaths,10
2021-02-08,2020-04-18,Number of cases,56
2021-02-08,2020-04-18,Number of tests,3692
2021-02-08,2020-04-18,Number of deaths,0
2021-02-08,2020-04-19,Number of cases,67
2021-02-08,2020-04-19,Number of tests,2362
2021-02-08,2020-04-19,Number of deaths,6
2021-02-08,2020-04-20,Number of cases,143
2021-02-08,2020-04-20,Number of tests,1844
2021-02-08,2020-04-20,Number of deaths,19
2021-02-08,2020-04-21,Number of cases,112
2021-02-08,2020-04-21,Number of tests,3620
2021-02-08,2020-04-21,Number of deaths,4
2021-02-08,2020-04-22,Number of cases,124
2021-02-08,2020-04-22,Number of tests,4202
2021-02-08,2020-04-22,Number of deaths,8
2021-02-08,2020-04-23,Number of cases,116
2021-02-08,2020-04-23,Number of tests,3664
2021-02-08,2020-04-23,Number of deaths,0
2021-02-08,2020-04-24,Number of cases,92
2021-02-08,2020-04-24,Number of tests,4280
2021-02-08,2020-04-24,Number of deaths,3
2021-02-08,2020-04-25,Number of cases,76
2021-02-08,2020-04-25,Number of tests,3141
2021-02-08,2020-04-25,Number of deaths,6
2021-02-08,2020-04-26,Number of cases,73
2021-02-08,2020-04-26,Number of tests,2485
2021-02-08,2020-04-26,Number of deaths,5
2021-02-08,2020-04-27,Number of cases,123
2021-02-08,2020-04-27,Number of tests,2440
2021-02-08,2020-04-27,Number of deaths,1
2021-02-08,2020-04-28,Number of cases,139
2021-02-08,2020-04-28,Number of tests,3788
2021-02-08,2020-04-28,Number of deaths,2
2021-02-08,2020-04-29,Number of cases,108
2021-02-08,2020-04-29,Number of tests,4450
2021-02-08,2020-04-29,Number of deaths,1
2021-02-08,2020-04-30,Number of cases,86
2021-02-08,2020-04-30,Number of tests,4179
2021-02-08,2020-04-30,Number of deaths,4
2021-02-08,2020-05-01,Number of cases,48
2021-02-08,2020-05-01,Number of tests,3375
2021-02-08,2020-05-01,Number of deaths,2
2021-02-08,2020-05-02,Number of cases,58
2021-02-08,2020-05-02,Number of tests,1483
2021-02-08,2020-05-02,Number of deaths,4
2021-02-08,2020-05-03,Number of cases,61
2021-02-08,2020-05-03,Number of tests,1649
2021-02-08,2020-05-03,Number of deaths,3
2021-02-08,2020-05-04,Number of cases,133
2021-02-08,2020-05-04,Number of tests,1767
2021-02-08,2020-05-04,Number of deaths,8
2021-02-08,2020-05-05,Number of cases,125
2021-02-08,2020-05-05,Number of tests,3771
2021-02-08,2020-05-05,Number of deaths,4
2021-02-08,2020-05-06,Number of cases,95
2021-02-08,2020-05-06,Number of tests,3808
2021-02-08,2020-05-06,Number of deaths,3
2021-02-08,2020-05-07,Number of cases,108
2021-02-08,2020-05-07,Number of tests,3832
2021-02-08,2020-05-07,Number of deaths,8
2021-02-08,2020-05-08,Number of cases,81
2021-02-08,2020-05-08,Number of tests,3322
2021-02-08,2020-05-08,Number of deaths,1
2021-02-08,2020-05-09,Number of cases,47
2021-02-08,2020-05-09,Number of tests,2810
2021-02-08,2020-05-09,Number of deaths,3
2021-02-08,2020-05-10,Number of cases,28
2021-02-08,2020-05-10,Number of tests,1819
2021-02-08,2020-05-10,Number of deaths,0
2021-02-08,2020-05-11,Number of cases,92
2021-02-08,2020-05-11,Number of tests,2208
2021-02-08,2020-05-11,Number of deaths,1
2021-02-08,2020-05-12,Number of cases,67
2021-02-08,2020-05-12,Number of tests,4055
2021-02-08,2020-05-12,Number of deaths,2
2021-02-08,2020-05-13,Number of cases,79
2021-02-08,2020-05-13,Number of tests,4011
2021-02-08,2020-05-13,Number of deaths,2
2021-02-08,2020-05-14,Number of cases,50
2021-02-08,2020-05-14,Number of tests,3896
2021-02-08,2020-05-14,Number of deaths,0
2021-02-08,2020-05-15,Number of cases,55
2021-02-08,2020-05-15,Number of tests,4353
2021-02-08,2020-05-15,Number of deaths,1
2021-02-08,2020-05-16,Number of cases,25
2021-02-08,2020-05-16,Number of tests,3450
2021-02-08,2020-05-16,Number of deaths,2
2021-02-08,2020-05-17,Number of cases,29
2021-02-08,2020-05-17,Number of tests,2312
2021-02-08,2020-05-17,Number of deaths,0
2021-02-08,2020-05-18,Number of cases,45
2021-02-08,2020-05-18,Number of tests,2360
2021-02-08,2020-05-18,Number of deaths,2
2021-02-08,2020-05-19,Number of cases,41
2021-02-08,2020-05-19,Number of tests,4946
2021-02-08,2020-05-19,Number of deaths,0
2021-02-08,2020-05-20,Number of cases,43
2021-02-08,2020-05-20,Number of tests,3696
2021-02-08,2020-05-20,Number of deaths,1
2021-02-08,2020-05-21,Number of cases,22
2021-02-08,2020-05-21,Number of tests,2965
2021-02-08,2020-05-21,Number of deaths,0
2021-02-08,2020-05-22,Number of cases,32
2021-02-08,2020-05-22,Number of tests,2216
2021-02-08,2020-05-22,Number of deaths,1
2021-02-08,2020-05-23,Number of cases,18
2021-02-08,2020-05-23,Number of tests,2630
2021-02-08,2020-05-23,Number of deaths,0
2021-02-08,2020-05-24,Number of cases,20
2021-02-08,2020-05-24,Number of tests,1554
2021-02-08,2020-05-24,Number of deaths,1
2021-02-08,2020-05-25,Number of cases,45
2021-02-08,2020-05-25,Number of tests,1744
2021-02-08,2020-05-25,Number of deaths,1
2021-02-08,2020-05-26,Number of cases,33
2021-02-08,2020-05-26,Number of tests,3638
2021-02-08,2020-05-26,Number of deaths,0
2021-02-08,2020-05-27,Number of cases,12
2021-02-08,2020-05-27,Number of tests,2971
2021-02-08,2020-05-27,Number of deaths,0
2021-02-08,2020-05-28,Number of cases,30
2021-02-08,2020-05-28,Number of tests,2983
2021-02-08,2020-05-28,Number of deaths,0
2021-02-08,2020-05-29,Number of cases,21
2021-02-08,2020-05-29,Number of tests,2804
2021-02-08,2020-05-29,Number of deaths,1
2021-02-08,2020-05-30,Number of cases,10
2021-02-08,2020-05-30,Number of tests,1945
2021-02-08,2020-05-30,Number of deaths,0
2021-02-08,2020-05-31,Number of cases,12
2021-02-08,2020-05-31,Number of tests,1295
2021-02-08,2020-05-31,Number of deaths,0
2021-02-08,2020-06-01,Number of cases,17
2021-02-08,2020-06-01,Number of tests,1685
2021-02-08,2020-06-01,Number of deaths,0
2021-02-08,2020-06-02,Number of cases,15
2021-02-08,2020-06-02,Number of tests,2875
2021-02-08,2020-06-02,Number of deaths,0
2021-02-08,2020-06-03,Number of cases,25
2021-02-08,2020-06-03,Number of tests,2860
2021-02-08,2020-06-03,Number of deaths,0
2021-02-08,2020-06-04,Number of cases,12
2021-02-08,2020-06-04,Number of tests,2798
2021-02-08,2020-06-04,Number of deaths,0
2021-02-08,2020-06-05,Number of cases,13
2021-02-08,2020-06-05,Number of tests,2321
2021-02-08,2020-06-05,Number of deaths,0
2021-02-08,2020-06-06,Number of cases,13
2021-02-08,2020-06-06,Number of tests,2042
2021-02-08,2020-06-06,Number of deaths,1
2021-02-08,2020-06-07,Number of cases,4
2021-02-08,2020-06-07,Number of tests,962
2021-02-08,2020-06-07,Number of deaths,0
2021-02-08,2020-06-08,Number of cases,10
2021-02-08,2020-06-08,Number of tests,1842
2021-02-08,2020-06-08,Number of deaths,0
2021-02-08,2020-06-09,Number of cases,8
2021-02-08,2020-06-09,Number of tests,2950
2021-02-08,2020-06-09,Number of deaths,0
2021-02-08,2020-06-10,Number of cases,7
2021-02-08,2020-06-10,Number of tests,2956
2021-02-08,2020-06-10,Number of deaths,0
2021-02-08,2020-06-11,Number of cases,9
2021-02-08,2020-06-11,Number of tests,2973
2021-02-08,2020-06-11,Number of deaths,0
2021-02-08,2020-06-12,Number of cases,13
2021-02-08,2020-06-12,Number of tests,2496
2021-02-08,2020-06-12,Number of deaths,0
2021-02-08,2020-06-13,Number of cases,2
2021-02-08,2020-06-13,Number of tests,1553
2021-02-08,2020-06-13,Number of deaths,0
2021-02-08,2020-06-14,Number of cases,5
2021-02-08,2020-06-14,Number of tests,826
2021-02-08,2020-06-14,Number of deaths,0
2021-02-08,2020-06-15,Number of cases,15
2021-02-08,2020-06-15,Number of tests,1899
2021-02-08,2020-06-15,Number of deaths,0
2021-02-08,2020-06-16,Number of cases,8
2021-02-08,2020-06-16,Number of tests,2991
2021-02-08,2020-06-16,Number of deaths,0
2021-02-08,2020-06-17,Number of cases,4
2021-02-08,2020-06-17,Number of tests,2730
2021-02-08,2020-06-17,Number of deaths,0
2021-02-08,2020-06-18,Number of cases,8
2021-02-08,2020-06-18,Number of tests,2069
2021-02-08,2020-06-18,Number of deaths,0
2021-02-08,2020-06-19,Number of cases,0
2021-02-08,2020-06-19,Number of tests,1440
2021-02-08,2020-06-19,Number of deaths,0
2021-02-08,2020-06-20,Number of cases,2
2021-02-08,2020-06-20,Number of tests,747
2021-02-08,2020-06-20,Number of deaths,1
2021-02-08,2020-06-21,Number of cases,13
2021-02-08,2020-06-21,Number of tests,687
2021-02-08,2020-06-21,Number of deaths,1
2021-02-08,2020-06-22,Number of cases,5
2021-02-08,2020-06-22,Number of tests,1604
2021-02-08,2020-06-22,Number of deaths,0
2021-02-08,2020-06-23,Number of cases,5
2021-02-08,2020-06-23,Number of tests,2635
2021-02-08,2020-06-23,Number of deaths,0
2021-02-08,2020-06-24,Number of cases,17
2021-02-08,2020-06-24,Number of tests,2330
2021-02-08,2020-06-24,Number of deaths,1
2021-02-08,2020-06-25,Number of cases,14
2021-02-08,2020-06-25,Number of tests,2693
2021-02-08,2020-06-25,Number of deaths,0
2021-02-08,2020-06-26,Number of cases,3
2021-02-08,2020-06-26,Number of tests,2176
2021-02-08,2020-06-26,Number of deaths,0
2021-02-08,2020-06-27,Number of cases,2
2021-02-08,2020-06-27,Number of tests,1556
2021-02-08,2020-06-27,Number of deaths,0
2021-02-08,2020-06-28,Number of cases,7
2021-02-08,2020-06-28,Number of tests,965
2021-02-08,2020-06-28,Number of deaths,0
2021-02-08,2020-06-29,Number of cases,15
2021-02-08,2020-06-29,Number of tests,1696
2021-02-08,2020-06-29,Number of deaths,1
2021-02-08,2020-06-30,Number of cases,10
2021-02-08,2020-06-30,Number of tests,2834
2021-02-08,2020-06-30,Number of deaths,0
2021-02-08,2020-07-01,Number of cases,2
2021-02-08,2020-07-01,Number of tests,2776
2021-02-08,2020-07-01,Number of deaths,0
2021-02-08,2020-07-02,Number of cases,7
2021-02-08,2020-07-02,Number of tests,3769
2021-02-08,2020-07-02,Number of deaths,0
2021-02-08,2020-07-03,Number of cases,6
2021-02-08,2020-07-03,Number of tests,3240
2021-02-08,2020-07-03,Number of deaths,0
2021-02-08,2020-07-04,Number of cases,2
2021-02-08,2020-07-04,Number of tests,2645
2021-02-08,2020-07-04,Number of deaths,0
2021-02-08,2020-07-05,Number of cases,3
2021-02-08,2020-07-05,Number of tests,1314
2021-02-08,2020-07-05,Number of deaths,0
2021-02-08,2020-07-06,Number of cases,8
2021-02-08,2020-07-06,Number of tests,2239
2021-02-08,2020-07-06,Number of deaths,0
2021-02-08,2020-07-07,Number of cases,3
2021-02-08,2020-07-07,Number of tests,4548
2021-02-08,2020-07-07,Number of deaths,0
2021-02-08,2020-07-08,Number of cases,9
2021-02-08,2020-07-08,Number of tests,4400
2021-02-08,2020-07-08,Number of deaths,0
2021-02-08,2020-07-09,Number of cases,8
2021-02-08,2020-07-09,Number of tests,4876
2021-02-08,2020-07-09,Number of deaths,0
2021-02-08,2020-07-10,Number of cases,7
2021-02-08,2020-07-10,Number of tests,4389
2021-02-08,2020-07-10,Number of deaths,0
2021-02-08,2020-07-11,Number of cases,0
2021-02-08,2020-07-11,Number of tests,3296
2021-02-08,2020-07-11,Number of deaths,0
2021-02-08,2020-07-12,Number of cases,4
2021-02-08,2020-07-12,Number of tests,2332
2021-02-08,2020-07-12,Number of deaths,0
2021-02-08,2020-07-13,Number of cases,6
2021-02-08,2020-07-13,Number of tests,3102
2021-02-08,2020-07-13,Number of deaths,0
2021-02-08,2020-07-14,Number of cases,5
2021-02-08,2020-07-14,Number of tests,5351
2021-02-08,2020-07-14,Number of deaths,0
2021-02-08,2020-07-15,Number of cases,5
2021-02-08,2020-07-15,Number of tests,5431
2021-02-08,2020-07-15,Number of deaths,0
2021-02-08,2020-07-16,Number of cases,9
2021-02-08,2020-07-16,Number of tests,4972
2021-02-08,2020-07-16,Number of deaths,0
2021-02-08,2020-07-17,Number of cases,6
2021-02-08,2020-07-17,Number of tests,5108
2021-02-08,2020-07-17,Number of deaths,0
2021-02-08,2020-07-18,Number of cases,7
2021-02-08,2020-07-18,Number of tests,4131
2021-02-08,2020-07-18,Number of deaths,0
2021-02-08,2020-07-19,Number of cases,5
2021-02-08,2020-07-19,Number of tests,2136
2021-02-08,2020-07-19,Number of deaths,0
2021-02-08,2020-07-20,Number of cases,12
2021-02-08,2020-07-20,Number of tests,3296
2021-02-08,2020-07-20,Number of deaths,1
2021-02-08,2020-07-21,Number of cases,8
2021-02-08,2020-07-21,Number of tests,5462
2021-02-08,2020-07-21,Number of deaths,0
2021-02-08,2020-07-22,Number of cases,11
2021-02-08,2020-07-22,Number of tests,5042
2021-02-08,2020-07-22,Number of deaths,0
2021-02-08,2020-07-23,Number of cases,3
2021-02-08,2020-07-23,Number of tests,5477
2021-02-08,2020-07-23,Number of deaths,0
2021-02-08,2020-07-24,Number of cases,10
2021-02-08,2020-07-24,Number of tests,4752
2021-02-08,2020-07-24,Number of deaths,0
2021-02-08,2020-07-25,Number of cases,4
2021-02-08,2020-07-25,Number of tests,3760
2021-02-08,2020-07-25,Number of deaths,0
2021-02-08,2020-07-26,Number of cases,8
2021-02-08,2020-07-26,Number of tests,2285
2021-02-08,2020-07-26,Number of deaths,0
2021-02-08,2020-07-27,Number of cases,12
2021-02-08,2020-07-27,Number of tests,3403
2021-02-08,2020-07-27,Number of deaths,0
2021-02-08,2020-07-28,Number of cases,9
2021-02-08,2020-07-28,Number of tests,5743
2021-02-08,2020-07-28,Number of deaths,1
2021-02-08,2020-07-29,Number of cases,12
2021-02-08,2020-07-29,Number of tests,5539
2021-02-08,2020-07-29,Number of deaths,1
2021-02-08,2020-07-30,Number of cases,8
2021-02-08,2020-07-30,Number of tests,5635
2021-02-08,2020-07-30,Number of deaths,0
2021-02-08,2020-07-31,Number of cases,18
2021-02-08,2020-07-31,Number of tests,5555
2021-02-08,2020-07-31,Number of deaths,0
2021-02-08,2020-08-01,Number of cases,15
2021-02-08,2020-08-01,Number of tests,4198
2021-02-08,2020-08-01,Number of deaths,0
2021-02-08,2020-08-02,Number of cases,10
2021-02-08,2020-08-02,Number of tests,4568
2021-02-08,2020-08-02,Number of deaths,0
2021-02-08,2020-08-03,Number of cases,35
2021-02-08,2020-08-03,Number of tests,5250
2021-02-08,2020-08-03,Number of deaths,1
2021-02-08,2020-08-04,Number of cases,22
2021-02-08,2020-08-04,Number of tests,6819
2021-02-08,2020-08-04,Number of deaths,0
2021-02-08,2020-08-05,Number of cases,29
2021-02-08,2020-08-05,Number of tests,8536
2021-02-08,2020-08-05,Number of deaths,0
2021-02-08,2020-08-06,Number of cases,22
2021-02-08,2020-08-06,Number of tests,7097
2021-02-08,2020-08-06,Number of deaths,0
2021-02-08,2020-08-07,Number of cases,17
2021-02-08,2020-08-07,Number of tests,8815
2021-02-08,2020-08-07,Number of deaths,0
2021-02-08,2020-08-08,Number of cases,9
2021-02-08,2020-08-08,Number of tests,6327
2021-02-08,2020-08-08,Number of deaths,0
2021-02-08,2020-08-09,Number of cases,35
2021-02-08,2020-08-09,Number of tests,5942
2021-02-08,2020-08-09,Number of deaths,0
2021-02-08,2020-08-10,Number of cases,15
2021-02-08,2020-08-10,Number of tests,7260
2021-02-08,2020-08-10,Number of deaths,0
2021-02-08,2020-08-11,Number of cases,28
2021-02-08,2020-08-11,Number of tests,10638
2021-02-08,2020-08-11,Number of deaths,0
2021-02-08,2020-08-12,Number of cases,27
2021-02-08,2020-08-12,Number of tests,11597
2021-02-08,2020-08-12,Number of deaths,0
2021-02-08,2020-08-13,Number of cases,21
2021-02-08,2020-08-13,Number of tests,12107
2021-02-08,2020-08-13,Number of deaths,0
2021-02-08,2020-08-14,Number of cases,27
2021-02-08,2020-08-14,Number of tests,9621
2021-02-08,2020-08-14,Number of deaths,0
2021-02-08,2020-08-15,Number of cases,14
2021-02-08,2020-08-15,Number of tests,10354
2021-02-08,2020-08-15,Number of deaths,0
2021-02-08,2020-08-16,Number of cases,43
2021-02-08,2020-08-16,Number of tests,10958
2021-02-08,2020-08-16,Number of deaths,1
2021-02-08,2020-08-17,Number of cases,27
2021-02-08,2020-08-17,Number of tests,10919
2021-02-08,2020-08-17,Number of deaths,0
2021-02-08,2020-08-18,Number of cases,39
2021-02-08,2020-08-18,Number of tests,12886
2021-02-08,2020-08-18,Number of deaths,0
2021-02-08,2020-08-19,Number of cases,47
2021-02-08,2020-08-19,Number of tests,17142
2021-02-08,2020-08-19,Number of deaths,0
2021-02-08,2020-08-20,Number of cases,27
2021-02-08,2020-08-20,Number of tests,15969
2021-02-08,2020-08-20,Number of deaths,0
2021-02-08,2020-08-21,Number of cases,25
2021-02-08,2020-08-21,Number of tests,16150
2021-02-08,2020-08-21,Number of deaths,0
2021-02-08,2020-08-22,Number of cases,16
2021-02-08,2020-08-22,Number of tests,12831
2021-02-08,2020-08-22,Number of deaths,0
2021-02-08,2020-08-23,Number of cases,10
2021-02-08,2020-08-23,Number of tests,12725
2021-02-08,2020-08-23,Number of deaths,0
2021-02-08,2020-08-24,Number of cases,17
2021-02-08,2020-08-24,Number of tests,14506
2021-02-08,2020-08-24,Number of deaths,0
2021-02-08,2020-08-25,Number of cases,15
2021-02-08,2020-08-25,Number of tests,16150
2021-02-08,2020-08-25,Number of deaths,0
2021-02-08,2020-08-26,Number of cases,20
2021-02-08,2020-08-26,Number of tests,17490
2021-02-08,2020-08-26,Number of deaths,0
2021-02-08,2020-08-27,Number of cases,32
2021-02-08,2020-08-27,Number of tests,17326
2021-02-08,2020-08-27,Number of deaths,0
2021-02-08,2020-08-28,Number of cases,35
2021-02-08,2020-08-28,Number of tests,14166
2021-02-08,2020-08-28,Number of deaths,0
2021-02-08,2020-08-29,Number of cases,19
2021-02-08,2020-08-29,Number of tests,15175
2021-02-08,2020-08-29,Number of deaths,0
2021-02-08,2020-08-30,Number of cases,18
2021-02-08,2020-08-30,Number of tests,13341
2021-02-08,2020-08-30,Number of deaths,0
2021-02-08,2020-08-31,Number of cases,48
2021-02-08,2020-08-31,Number of tests,13116
2021-02-08,2020-08-31,Number of deaths,1
2021-02-08,2020-09-01,Number of cases,29
2021-02-08,2020-09-01,Number of tests,14797
2021-02-08,2020-09-01,Number of deaths,1
2021-02-08,2020-09-02,Number of cases,26
2021-02-08,2020-09-02,Number of tests,17899
2021-02-08,2020-09-02,Number of deaths,0
2021-02-08,2020-09-03,Number of cases,35
2021-02-08,2020-09-03,Number of tests,16872
2021-02-08,2020-09-03,Number of deaths,0
2021-02-08,2020-09-04,Number of cases,42
2021-02-08,2020-09-04,Number of tests,16079
2021-02-08,2020-09-04,Number of deaths,1
2021-02-08,2020-09-05,Number of cases,22
2021-02-08,2020-09-05,Number of tests,14169
2021-02-08,2020-09-05,Number of deaths,0
2021-02-08,2020-09-06,Number of cases,33
2021-02-08,2020-09-06,Number of tests,9530
2021-02-08,2020-09-06,Number of deaths,1
2021-02-08,2020-09-07,Number of cases,45
2021-02-08,2020-09-07,Number of tests,7288
2021-02-08,2020-09-07,Number of deaths,0
2021-02-08,2020-09-08,Number of cases,58
2021-02-08,2020-09-08,Number of tests,12053
2021-02-08,2020-09-08,Number of deaths,0
2021-02-08,2020-09-09,Number of cases,55
2021-02-08,2020-09-09,Number of tests,14213
2021-02-08,2020-09-09,Number of deaths,3
2021-02-08,2020-09-10,Number of cases,54
2021-02-08,2020-09-10,Number of tests,13000
2021-02-08,2020-09-10,Number of deaths,0
2021-02-08,2020-09-11,Number of cases,58
2021-02-08,2020-09-11,Number of tests,14441
2021-02-08,2020-09-11,Number of deaths,2
2021-02-08,2020-09-12,Number of cases,40
2021-02-08,2020-09-12,Number of tests,10330
2021-02-08,2020-09-12,Number of deaths,0
2021-02-08,2020-09-13,Number of cases,46
2021-02-08,2020-09-13,Number of tests,8400
2021-02-08,2020-09-13,Number of deaths,0
2021-02-08,2020-09-14,Number of cases,59
2021-02-08,2020-09-14,Number of tests,9184
2021-02-08,2020-09-14,Number of deaths,1
2021-02-08,2020-09-15,Number of cases,53
2021-02-08,2020-09-15,Number of tests,13585
2021-02-08,2020-09-15,Number of deaths,0
2021-02-08,2020-09-16,Number of cases,57
2021-02-08,2020-09-16,Number of tests,17146
2021-02-08,2020-09-16,Number of deaths,1
2021-02-08,2020-09-17,Number of cases,85
2021-02-08,2020-09-17,Number of tests,18382
2021-02-08,2020-09-17,Number of deaths,0
2021-02-08,2020-09-18,Number of cases,77
2021-02-08,2020-09-18,Number of tests,16891
2021-02-08,2020-09-18,Number of deaths,0
2021-02-08,2020-09-19,Number of cases,61
2021-02-08,2020-09-19,Number of tests,12256
2021-02-08,2020-09-19,Number of deaths,0
2021-02-08,2020-09-20,Number of cases,74
2021-02-08,2020-09-20,Number of tests,10322
2021-02-08,2020-09-20,Number of deaths,0
2021-02-08,2020-09-21,Number of cases,120
2021-02-08,2020-09-21,Number of tests,8746
2021-02-08,2020-09-21,Number of deaths,0
2021-02-08,2020-09-22,Number of cases,110
2021-02-08,2020-09-22,Number of tests,14194
2021-02-08,2020-09-22,Number of deaths,1
2021-02-08,2020-09-23,Number of cases,117
2021-02-08,2020-09-23,Number of tests,13652
2021-02-08,2020-09-23,Number of deaths,2
2021-02-08,2020-09-24,Number of cases,98
2021-02-08,2020-09-24,Number of tests,16563
2021-02-08,2020-09-24,Number of deaths,0
2021-02-08,2020-09-25,Number of cases,127
2021-02-08,2020-09-25,Number of tests,14512
2021-02-08,2020-09-25,Number of deaths,1
2021-02-08,2020-09-26,Number of cases,74
2021-02-08,2020-09-26,Number of tests,14760
